Database Name,URL,Scale of database,papers,"Overall Accessibility, as of January 2019",Region/Institution,Taxa,Data Type
Aarhus University Herbarium Database (AAU),http://bios.au.dk/forskning/faciliteter/herbarium/; www.aubot.dk ,Institution,3,Not Accessible,Aarhus University Herbarium,,
Academy of Natural Sciences of Drexel University,https://www.ansp.org/research/systematics-evolution/resources/databases/,Institution,1,Accessible,Drexel University,,
African Mammals Databank,http://serverbau.bio.uniroma1.it/gisbau/amd.php,"Regional, Taxa",1,Not Accessible,Africa,Mammals,
African Plant Database,http://www.ville-ge.ch/musinfo/bd/cjb/africa/recherche.php?langue=an,"Regional, Taxa",1,Accessible,Africa,Plants,
African Plants Initiative,http://apps.kew.org/herbcat/gotoApi.do ,"Regional, Taxa",1,Not Accessible,Africa,Plants,
Alberta Conservation Information Management System,https://www.albertaparks.ca/albertaparksca/management-land-use/alberta-conservation-information-management-system-acims/ ,Regional,1,Accessible,"Alberta, Canada",,
AlgaeBase,http://www.algaebase.org/ ,Taxa,2,Accessible,,Algae,
Alpensalamander,http://www.alpensalamander.eu/ ,Taxa,1,Not Accessible,,Alpine Salamanders,
"American Museum of Natural History, Vertebrate Zoology Collection Database",http://sci-web-001.amnh.org/db/emuwebamnh/index.php,Institution,2,,American Museum of Natural History,,
American National Herbarium Collections plant leaves image dataset,http://herbarium.cs.columbia.edu/data.php ,"Institution, Taxa",1,Not Accessible,American National Herbarium,Plants,
AmphibiaWeb,http://www.amphibiaweb.org/ ,Taxa,1,Accessible,Global,Amphibians,
AnoBase,www.anobase.org/cgi-bin/publn.pl ,Taxa,1,Not Accessible,Global,"Anophelene Mosquitoes, genetic info",
ANSP Diatom Herbarium database,http://clade.ansp.org/diatoms/interim/search.php ,"Institution, Taxa",1,Accessible,The Academy of Natural Sciences Philadelphia Diatom Herbarium,Diatoms,
Ant Distribution Database,www.landcareresearch.co.nz/research/biocons/invertebrates/ants/distribution,Taxa,1,Accessible,New Zealand,Ants,
Antarctic Plant Database,www.antarctica.ac.uk/Resources/BSD/PlantDatabase/index.html   ,"Regional, Taxa",1,Not Accessible,Antarctic,Plants,
ANTHOS,http://www.anthos.es ,"National, Taxa",1,Accessible,Spain,Plants,
antmaps.org,antmaps.org ,Taxa,2,Accessible,Global,Ants,
AntWeb,www.antweb.org ,Taxa,2,Accessible,Global,Ants,
Arctic Ocean Diversity (ArcOD),http://www.arcodiv.org ,Regional,1,Accessible,Arctic Ocean,,
